Title,Category,Duration (mins),Language,Target Role,Complexity Level,Skills Assessed
"Apprentice + 8.0 Job Focused Assessment","Cognitive Ability",45,"English","Apprentice","Beginner","Numerical Reasoning, Logical Thinking"
"Graduate Suite Verbal Test","Verbal Reasoning",30,"English","Graduate","Intermediate","Reading Comprehension, Grammar"
"Managerial Decision Making","Situational Judgment",40,"English","Manager","Advanced","Leadership, Conflict Resolution"
"Customer Service Simulation","Simulation",35,"English","Customer Service Rep","Intermediate","Communication, Problem Solving"
"Data Analyst Aptitude Test","Cognitive Ability",50,"English","Data Analyst","Advanced","Data Interpretation, Logical Reasoning"
"IT Developer Assessment","Technical",60,"English","Software Developer","Advanced","Coding, Problem Solving"
"Sales Scenario Simulation","Situational Judgment",30,"English","Sales Executive","Intermediate","Persuasion, Objection Handling"
"Clerical Checking Test","Clerical",25,"English","Administrative Assistant","Beginner","Accuracy, Speed"
"Mechanical Reasoning Assessment","Cognitive Ability",40,"English","Technician","Intermediate","Physics, Engineering Logic"
"Retail Role Play Simulation","Simulation",35,"English","Retail Associate","Beginner","Customer Interaction, Sales Process"
"Leadership Potential Test","Personality",30,"English","Future Leaders","Intermediate","Decision Making, Empathy"
"Call Center Simulation","Simulation",30,"English","Call Center Agent","Beginner","Listening, Response Handling"
"Numerical Critical Thinking","Cognitive Ability",45,"English","Analyst","Advanced","Statistics, Interpretation"
"Project Management SJT","Situational Judgment",40,"English","Project Manager","Advanced","Prioritization, Resource Management"
"Warehouse Worker Aptitude","Cognitive Ability",30,"English","Warehouse Associate","Beginner","Memory, Attention to Detail"
"Business English Proficiency","Verbal Reasoning",25,"English","Office Roles","Intermediate","Grammar, Vocabulary"
"HR Decision Making","Situational Judgment",30,"English","HR Specialist","Intermediate","Policy Application, Ethics"
"Cybersecurity Fundamentals Test","Technical",60,"English","Security Analyst","Advanced","Threat Analysis, Network Basics"
"Marketing Creative Thinking","Personality",35,"English","Marketing Executive","Intermediate","Creativity, Campaign Strategy"
"Entry-Level Finance Test","Cognitive Ability",40,"English","Finance Assistant","Beginner","Math, Budget Analysis"
